Age,Height,Weight,Bmi,BmiClass,EncodedBmiClass
46.0,,36.9,,Underweight,5.0
46.0,1.74,,36.72876205575373,Obese Class 2,
45.0,1.74,,26.086669309023648,Overweight,
45.0,1.73,74.38,24.85215008854288,Normal Weight,0.0
45.0,1.75,83.58,27.29142857142857,Overweight,4.0
45.0,1.68,140.0,49.60317460317461,Obese Class 3,
,1.84,68.0,20.08506616257089,Normal Weight,0.0
,,78.3,26.467009194159008,Overweight,4.0
,1.53,37.0,15.805886624802426,Underweight,5.0
45.0,,90.7,28.626436056053528,Overweight,4.0
45.0,1.8,116.0,35.80246913580247,Obese Class 2,
44.0,,,25.96776324481437,Overweight,4.0
44.0,1.73,74.12,,Normal Weight,0.0
44.0,,83.12,27.14122448979592,Overweight,4.0
44.0,1.82,66.0,,Normal Weight,0.0
44.0,1.71,74.4,25.44372627475121,Overweight,4.0
44.0,1.53,37.2,,Underweight,5.0
,,96.1,29.66049382716049,Overweight,4.0
44.0,1.79,,36.32845416809712,Obese Class 2,2.0
,1.74,,,Overweight,4.0
43.0,1.73,74.21,24.795348992615853,Normal Weight,0.0
43.0,1.75,83.01,27.10530612244898,Overweight,
43.0,,64.0,19.753086419753085,Normal Weight,
43.0,,,,Overweight,4.0
43.0,1.54,,15.769944341372913,Underweight,5.0
,1.78,114.5,36.13811387451079,Obese Class 2,2.0
42.0,,,,Overweight,4.0
42.0,1.73,74.3,,Normal Weight,0.0
42.0,1.75,82.9,27.06938775510204,Overweight,4.0
42.0,1.65,90.0,33.057851239669425,Obese Class 1,1.0
42.0,1.78,,19.56823633379624,Normal Weight,0.0
,1.75,76.5,24.97959183673469,Normal Weight,
42.0,1.54,,15.812109967954123,Underweight,5.0
42.0,,93.8,29.274991417246653,Overweight,4.0
42.0,,112.0,,Obese Class 2,2.0
41.0,1.74,78.59,25.95785440613027,Overweight,4.0
,1.73,74.39,24.85549132947977,Normal Weight,0.0
41.0,1.75,82.79,27.033469387755105,Overweight,4.0
41.0,1.76,60.0,19.3698347107438,Normal Weight,
41.0,1.72,78.6,26.56841535965387,Overweight,4.0
,1.55,37.7,,Underweight,5.0
41.0,,110.1,36.78706271509238,Obese Class 2,
40.0,,78.58,,Overweight,
40.0,1.73,74.48,24.885562497911724,Normal Weight,0.0
40.0,1.75,82.68,,Overweight,
40.0,,74.48,,Normal Weight,0.0
40.0,1.7,105.0,36.33217993079585,Obese Class 2,2.0
40.0,1.74,,19.15708812260536,Normal Weight,0.0
40.0,1.7,75.0,25.95155709342561,Overweight,4.0
40.0,,38.0,15.61472715318869,Underweight,5.0
40.0,,,,Obese Class 2,2.0
39.0,1.74,77.42,,Overweight,
39.0,,73.42,24.531390958602024,Normal Weight,0.0
,1.75,81.42,26.58612244897959,Overweight,4.0
39.0,1.729,,24.559775556701062,Normal Weight,0.0
39.0,,56.0,18.92915089237426,Normal Weight,0.0
,1.66,71.7,26.019741617070697,Overweight,4.0
39.0,1.56,38.3,15.73800131492439,Underweight,
39.0,1.78,90.2,28.468627698522912,Overweight,
39.0,1.74,111.7,36.8939093671555,Obese Class 2,2.0
,1.74,77.41,25.56810675122209,Overweight,4.0
38.0,1.73,73.51,24.56146212703398,Normal Weight,
38.0,1.75,81.31,26.550204081632653,Overweight,4.0
38.0,1.729,,24.589881519655343,Normal Weight,0.0
38.0,1.68,80.0,28.344671201814062,Overweight,4.0
38.0,,54.0,18.68512110726644,Normal Weight,0.0
38.0,,74.8,25.580520502034812,Overweight,
38.0,1.57,38.7,15.70043409468944,Underweight,5.0
38.0,,88.3,28.18474895464266,Overweight,4.0
38.0,,118.9,37.52682742078021,Obese Class 2,2.0
37.0,1.74,,25.564803804994057,Overweight,4.0
37.0,1.73,73.6,24.591533295465933,Normal Weight,
,1.75,,26.51428571428572,Overweight,4.0
37.0,1.729,73.6,24.61998748260962,Normal Weight,0.0
37.0,1.7298,80.4,26.869789441512232,Overweight,4.0
,1.68,52.0,18.42403628117914,Underweight,5.0
,1.67,,,Overweight,4.0
37.0,1.58,39.1,15.662554077872134,Underweight,5.0
37.0,1.76,113.3,,Obese Class 2,2.0
,1.74,77.39,25.56150085876602,Overweight,4.0
36.0,1.73,,24.62160446389789,Normal Weight,0.0
36.0,1.75,81.09,,Overweight,4.0
36.0,1.729,73.69,,Normal Weight,0.0
,1.7298,80.39,26.866447427900106,Overweight,
36.0,1.66,50.0,18.144868631151112,Underweight,5.0
36.0,1.69,62.0,21.707923392038097,Normal Weight,0.0
36.0,,68.4,,Normal Weight,0.0
,1.59,39.6,15.663937344250622,Underweight,5.0
36.0,1.75,112.2,36.63673469387755,Obese Class 2,2.0
,1.74,77.38,25.55819791253798,Overweight,4.0
35.0,1.73,73.78,24.651675632329848,Normal Weight,0.0
35.0,1.75,80.98,26.44244897959184,Overweight,4.0
35.0,,73.78,24.68019940851818,Normal Weight,0.0
35.0,1.7298,80.38,26.86310541428797,Overweight,4.0
35.0,1.7,,29.411764705882355,Overweight,4.0
35.0,1.64,48.0,17.846519928613922,Underweight,5.0
35.0,1.71,65.0,,Normal Weight,0.0
35.0,,67.0,22.647376960519203,Normal Weight,0.0
,1.65,65.2,,Normal Weight,0.0
35.0,1.6,40.1,15.664062499999998,Underweight,5.0
35.0,1.75,85.6,27.951020408163263,Overweight,4.0
35.0,,98.5,34.083044982698965,Obese Class 1,
34.0,1.74,,,Overweight,4.0
34.0,,72.72,,Normal Weight,0.0
34.0,1.75,,26.031020408163265,Overweight,4.0
34.0,,72.72,,Normal Weight,
34.0,1.7298,79.22,,Overweight,4.0
34.0,1.62,46.0,17.527815881725342,Underweight,5.0
34.0,1.73,67.0,22.386314277122523,Normal Weight,
,1.72,66.0,22.30935640886966,Normal Weight,0.0
,1.71,,22.571047501795427,Normal Weight,0.0
34.0,1.7,65.0,,Normal Weight,
34.0,,70.9,23.689398242507263,Normal Weight,0.0
,,40.6,15.66297596543343,Underweight,5.0
,1.77,86.9,27.737878642791024,Overweight,4.0
34.0,1.81,120.9,36.90363542016422,Obese Class 2,2.0
,1.74,,25.17175320385784,Overweight,
,1.73,72.81,24.327575261452104,Normal Weight,
33.0,1.75,79.61,25.995102040816327,Overweight,
33.0,,,24.35572403001096,Normal Weight,
33.0,1.7298,79.21,26.47208982166895,Overweight,4.0
33.0,1.6,,17.187499999999996,Underweight,5.0
33.0,1.69,,22.40817898532965,Normal Weight,0.0
33.0,1.73,,22.052190183434128,Normal Weight,0.0
33.0,,65.0,,Normal Weight,
33.0,,73.6,23.49261068020045,Normal Weight,0.0
33.0,1.62,41.2,15.698826398414871,Underweight,5.0
33.0,,84.3,27.21461776859504,Overweight,4.0
33.0,1.8,118.1,36.45061728395061,Obese Class 2,2.0
32.0,1.74,76.2,25.168450257629807,Overweight,4.0
,1.73,72.9,24.35764642988406,Normal Weight,0.0
32.0,1.75,,25.959183673469383,Overweight,4.0
32.0,1.729,72.9,,Normal Weight,0.0
32.0,1.6,120.0,,Obese Class 3,3.0
32.0,1.58,42.0,16.82422688671687,Underweight,5.0
32.0,1.65,60.0,22.03856749311295,Normal Weight,0.0
32.0,1.68,,23.030045351473927,Normal Weight,0.0
32.0,1.7,,22.49134948096886,Normal Weight,0.0
32.0,1.68,64.0,22.67573696145125,Normal Weight,0.0
32.0,1.65,61.0,22.4058769513315,Normal Weight,0.0
32.0,1.69,,,Normal Weight,0.0
32.0,,42.2,15.690065437239742,Underweight,5.0
,1.72,,27.683883180097357,Overweight,
32.0,1.77,115.7,36.930639343739024,Obese Class 2,2.0
31.0,,76.19,25.165147311401768,Overweight,4.0
,1.73,72.99,24.38771759831601,Normal Weight,0.0
31.0,1.75,,25.92326530612245,Overweight,
,1.729,,24.415935955919515,Normal Weight,0.0
31.0,1.7298,76.07,25.42269754746064,Overweight,4.0
31.0,,,16.649323621227886,Underweight,5.0
31.0,,62.0,21.9671201814059,Normal Weight,0.0
31.0,1.74,,22.12973972783723,Normal Weight,0.0
,1.71,66.0,,Normal Weight,0.0
31.0,1.68,63.0,22.321428571428577,Normal Weight,0.0
31.0,1.63,60.0,22.582709172343712,Normal Weight,
31.0,1.7,74.1,25.640138408304495,Overweight,4.0
31.0,1.65,43.0,15.794306703397616,Underweight,
31.0,1.74,82.5,27.24930638129211,Overweight,4.0
31.0,1.85,132.0,38.568298027757486,Obese Class 2,2.0
30.0,1.74,76.18,25.16184436517373,Overweight,
30.0,1.73,,24.417788766747968,Normal Weight,
30.0,1.75,79.28,,Overweight,
,,73.08,24.446041918873792,Normal Weight,0.0
30.0,1.7298,,,Overweight,4.0
30.0,,95.0,33.6592970521542,Obese Class 1,1.0
30.0,1.7,155.0,53.63321799307959,Obese Class 3,
30.0,1.8,175.0,54.01234567901234,Obese Class 3,
,,270.0,63.01197227473221,Obese Class 3,
30.0,1.86,70.0,,Normal Weight,
30.0,1.7,,22.837370242214536,Normal Weight,0.0
,1.72,66.0,22.30935640886966,Normal Weight,0.0
30.0,1.69,64.0,22.40817898532965,Normal Weight,0.0
30.0,1.65,,22.4058769513315,Normal Weight,
30.0,1.865,93.4,26.85277691926198,Overweight,4.0
30.0,1.87,92.3,26.3948068289056,Overweight,4.0
30.0,1.68,,24.340986394557827,Normal Weight,0.0
30.0,1.67,44.5,15.956111728638533,Underweight,5.0
30.0,1.74,79.9,26.39054036200291,Overweight,
30.0,1.72,,36.06679286100595,Obese Class 2,2.0
29.0,1.79,74.72,23.320121094847227,Normal Weight,0.0
29.0,,71.72,22.63603080419139,Normal Weight,0.0
29.0,1.8,77.72,23.98765432098765,Normal Weight,0.0
29.0,1.779,71.72,22.66148599566297,Normal Weight,0.0
29.0,,74.6,23.55029884824138,Normal Weight,0.0
29.0,1.65,,55.096418732782375,Obese Class 3,3.0
29.0,1.75,170.0,55.51020408163265,Obese Class 3,3.0
29.0,,260.0,61.86793575252826,Obese Class 3,3.0
29.0,1.84,68.0,20.08506616257089,Normal Weight,0.0
29.0,1.63,,21.82995219993225,Normal Weight,0.0
29.0,1.7,64.0,22.145328719723185,Normal Weight,
29.0,1.68,,,Normal Weight,0.0
,1.66,62.0,22.49963710262738,Normal Weight,0.0
29.0,1.847,90.9,26.645881511129275,Overweight,4.0
,1.853,89.7,26.12411605398285,Overweight,4.0
29.0,1.72,69.3,23.424824229313145,Normal Weight,0.0
29.0,1.66,45.7,,Underweight,
29.0,1.75,81.4,26.579591836734696,Overweight,4.0
29.0,,113.8,36.73811983471074,Obese Class 2,
,1.78,74.71,23.579724782224464,Normal Weight,0.0
,1.77,71.81,22.921255067190145,Normal Weight,
28.0,,77.61,24.22209044661528,Normal Weight,0.0
28.0,,71.81,,Normal Weight,0.0
,1.7698,74.59,23.813993218627807,Normal Weight,0.0
28.0,1.75,75.0,24.489795918367346,Normal Weight,0.0
28.0,1.67,145.0,51.991824733766,Obese Class 3,3.0
28.0,,165.0,55.77339102217415,Obese Class 3,3.0
28.0,2.02,,,Obese Class 3,3.0
,1.82,66.0,19.925129815239703,Normal Weight,
,1.78,75.0,23.671253629592226,Normal Weight,0.0
28.0,1.76,69.0,22.27530991735537,Normal Weight,
28.0,1.66,62.0,22.49963710262738,Normal Weight,0.0
28.0,1.67,63.0,22.58955143605005,Normal Weight,0.0
28.0,1.63,60.0,22.582709172343712,Normal Weight,0.0
28.0,1.832,88.3,,Overweight,4.0
28.0,,,25.8122267071295,Overweight,4.0
28.0,1.78,72.1,22.75596515591465,Normal Weight,
28.0,,,16.369047619047624,Underweight,5.0
28.0,1.73,78.6,26.26215376390791,Overweight,4.0
28.0,1.82,126.8,,Obese Class 2,2.0
,1.77,74.7,23.84372306808388,Normal Weight,0.0
,1.76,,23.211518595041326,Normal Weight,0.0
27.0,1.78,,24.460295417245295,Normal Weight,0.0
27.0,1.759,71.9,,Normal Weight,0.0
27.0,1.7598,,24.08217745662525,Normal Weight,0.0
27.0,1.69,,49.017891530408605,Obese Class 3,3.0
,1.77,,51.07089278304446,Obese Class 3,
,2.0,240.0,60.0,Obese Class 3,3.0
27.0,1.8,64.0,19.753086419753085,Normal Weight,0.0
27.0,1.67,63.0,22.58955143605005,Normal Weight,0.0
27.0,1.75,68.0,,Normal Weight,
27.0,1.66,62.0,22.49963710262738,Normal Weight,0.0
27.0,1.62,59.0,,Normal Weight,0.0
27.0,1.82,85.8,25.90266875981161,Overweight,4.0
27.0,1.825,,25.40063801838994,Overweight,4.0
27.0,,,,Normal Weight,
27.0,1.69,,16.63107034067435,Underweight,5.0
27.0,1.71,76.3,,Overweight,4.0
27.0,1.84,131.0,38.693289224952736,Obese Class 2,2.0
26.0,1.76,74.69,24.11221590909091,Normal Weight,0.0
26.0,,,,Normal Weight,
,,,24.702352452998817,Normal Weight,0.0
,1.749,71.99,23.533826893158903,Normal Weight,
,1.7498,74.57,24.354954283689928,Normal Weight,0.0
,1.64,135.0,,Obese Class 3,3.0
26.0,1.79,155.0,48.37551886645236,Obese Class 3,3.0
26.0,1.97,230.0,59.26460357133654,Obese Class 3,3.0
26.0,1.78,62.0,19.56823633379624,Normal Weight,0.0
,1.74,,,Normal Weight,0.0
26.0,,63.0,,Normal Weight,0.0
26.0,1.65,61.0,22.4058769513315,Normal Weight,0.0
,1.6,58.0,22.65625,Normal Weight,0.0
26.0,1.794,83.2,25.851065548608084,Overweight,
26.0,1.7990000000000002,,25.36768465959564,Overweight,4.0
26.0,1.74,71.9,23.74818337957458,Normal Weight,0.0
26.0,,48.9,16.723094285421155,Underweight,5.0
,1.76,80.2,25.89101239669421,Overweight,4.0
26.0,1.86,134.1,38.76170655567117,Obese Class 2,2.0
25.0,1.75,74.68,24.38530612244898,Normal Weight,
25.0,1.74,72.08,23.807636411679216,Normal Weight,0.0
25.0,1.76,77.28,24.948347107438018,Normal Weight,0.0
25.0,1.739,72.08,23.83502511969593,Normal Weight,0.0
,1.7398,74.56,24.63242937823691,Normal Weight,
,,,44.98269896193772,Obese Class 3,3.0
25.0,1.74,150.0,49.54419342053112,Obese Class 3,3.0
,,220.0,57.85667324128863,Obese Class 3,3.0
25.0,1.76,60.0,,Normal Weight,
25.0,1.72,68.0,22.985397512168745,Normal Weight,0.0
25.0,,60.0,22.86236854138088,Normal Weight,0.0
25.0,1.6,58.0,22.65625,Normal Weight,0.0
25.0,1.77,78.0,24.897060231734173,Normal Weight,0.0
25.0,1.77,77.0,24.577867151840145,Normal Weight,0.0
25.0,1.76,76.0,,Normal Weight,0.0
25.0,,,24.212293388429757,Normal Weight,
25.0,1.786,,25.29942353680298,Overweight,4.0
25.0,1.781,79.5,25.0633598584598,Overweight,4.0
25.0,1.75,70.5,23.020408163265305,Normal Weight,0.0
,,49.7,16.605967456313277,Underweight,
,1.71,77.7,26.57227864984098,Overweight,
,1.75,100.2,32.71836734693878,Obese Class 1,1.0
,1.77,71.82,,Normal Weight,0.0
,1.76,69.32,22.378615702479337,Normal Weight,0.0
24.0,1.78,74.32,23.456634263350583,Normal Weight,0.0
,1.759,69.32,22.404067637531146,Normal Weight,0.0
24.0,,74.32,23.430300687807957,Normal Weight,0.0
24.0,1.62,125.0,,Obese Class 3,3.0
,1.76,145.0,46.81043388429752,Obese Class 3,3.0
24.0,,210.0,,Obese Class 3,3.0
24.0,1.74,58.0,19.15708812260536,Normal Weight,
,1.75,,22.857142857142858,Normal Weight,0.0
24.0,1.76,76.0,,Normal Weight,0.0
24.0,1.76,75.0,24.212293388429757,Normal Weight,0.0
24.0,1.75,74.0,,Normal Weight,0.0
24.0,1.75,,23.836734693877556,Normal Weight,0.0
24.0,,,24.872738205035443,Normal Weight,0.0
24.0,1.767,,,Normal Weight,0.0
,1.76,68.0,21.952479338842977,Normal Weight,0.0
24.0,1.66,50.5,,Underweight,5.0
24.0,1.72,74.8,25.283937263385617,Overweight,4.0
24.0,1.83,128.7,38.43052942757323,Obese Class 2,
23.0,,71.81,23.182463842975206,Normal Weight,
23.0,1.75,69.41,,Normal Weight,0.0
23.0,1.77,74.21,23.68731845893581,Normal Weight,0.0
23.0,,69.41,22.69041428884789,Normal Weight,0.0
23.0,1.771,74.21,23.66057579275364,Normal Weight,0.0
23.0,1.68,120.0,42.51700680272109,Obese Class 3,3.0
23.0,1.71,140.0,47.877979549263024,Obese Class 3,3.0
23.0,1.9,200.0,55.4016620498615,Obese Class 3,3.0
23.0,1.72,56.0,18.92915089237426,Normal Weight,0.0
,1.75,74.0,24.163265306122447,Normal Weight,0.0
23.0,1.75,73.0,23.836734693877556,Normal Weight,0.0
23.0,1.74,,23.78121284185493,Normal Weight,0.0
23.0,1.74,71.0,,Normal Weight,0.0
23.0,1.753,,24.60129469194525,Normal Weight,
23.0,1.746,74.4,24.40531721007861,Normal Weight,0.0
23.0,1.68,52.1,18.459467120181408,Underweight,5.0
,1.7,75.9,26.26297577854672,Overweight,4.0
22.0,1.75,,23.444897959183677,Normal Weight,0.0
,1.74,69.5,,Normal Weight,0.0
22.0,1.76,74.1,,Normal Weight,0.0
22.0,1.739,69.5,22.98188465342491,Normal Weight,0.0
22.0,1.761,74.1,23.89458521612024,Normal Weight,0.0
22.0,1.762,71.901,23.15917702641591,Normal Weight,
22.0,1.738,71.699,23.736329074197425,Normal Weight,
22.0,,,35.75595618954421,Obese Class 2,2.0
22.0,1.66,115.0,41.73319785164756,Obese Class 3,3.0
22.0,1.69,135.0,47.26725254717973,Obese Class 3,3.0
22.0,,190.0,,Obese Class 3,
22.0,1.7,,18.68512110726644,Normal Weight,0.0
22.0,,72.0,23.78121284185493,Normal Weight,
22.0,1.76,,,Normal Weight,0.0
,1.74,71.0,23.450918219051392,Normal Weight,0.0
22.0,,70.0,23.38868655818771,Normal Weight,0.0
,1.72,69.0,23.323418063818284,Normal Weight,
22.0,1.709,73.0,24.99417088001052,Normal Weight,0.0
22.0,1.702,71.9,24.82045730398053,Normal Weight,0.0
22.0,,,24.753086419753085,Normal Weight,0.0
22.0,1.7,54.8,18.961937716262977,Normal Weight,0.0
,1.68,72.0,25.510204081632654,Overweight,4.0
,1.79,120.3,,Obese Class 2,2.0
21.0,1.74,71.79,23.71185097106619,Normal Weight,0.0
21.0,1.73,69.59,23.25169567977547,Normal Weight,0.0
,1.75,73.99,24.16,Normal Weight,0.0
,1.729,69.59,23.27859957764679,Normal Weight,0.0
21.0,1.751,73.99,24.132412220348268,Normal Weight,0.0
,,71.891,23.421047830528973,Normal Weight,
21.0,1.728,71.689,24.008501050240053,Normal Weight,
21.0,1.75,110.0,35.91836734693877,Obese Class 2,2.0
,1.71,,37.61841250299238,Obese Class 2,2.0
,1.73,130.0,43.43613217949146,Obese Class 3,3.0
21.0,1.85,180.0,52.59313367421475,Obese Class 3,3.0
21.0,1.68,52.0,18.42403628117914,Underweight,5.0
21.0,,,,Normal Weight,0.0
21.0,1.75,71.0,23.18367346938776,Normal Weight,0.0
21.0,1.73,69.0,23.054562464499316,Normal Weight,
21.0,,68.0,22.985397512168745,Normal Weight,0.0
21.0,1.71,,22.91303307000445,Normal Weight,
21.0,1.721,70.5,23.802763213825457,Normal Weight,
,,69.3,23.561611233414645,Normal Weight,0.0
21.0,1.75,57.3,,Normal Weight,0.0
21.0,1.7,43.4,15.017301038062286,Underweight,5.0
21.0,1.55,37.6,15.650364203954211,Underweight,5.0
21.0,,73.5,25.73439305346452,Overweight,4.0
,1.73,71.78,,Normal Weight,0.0
20.0,1.72,69.68,,Normal Weight,
,1.74,73.88,24.40216673272559,Normal Weight,0.0
20.0,1.719,,23.580683467565223,Normal Weight,0.0
,,,24.374142426414863,Normal Weight,0.0
,1.742,71.881,,Normal Weight,
,,71.679,24.285420006749057,Normal Weight,0.0
20.0,,105.0,35.49215792320173,Obese Class 2,2.0
20.0,1.65,105.0,,Obese Class 2,2.0
20.0,1.78,125.0,,Obese Class 2,2.0
20.0,1.82,170.0,51.322304069556814,Obese Class 3,3.0
20.0,1.66,,18.144868631151112,Underweight,5.0
20.0,1.72,68.0,22.985397512168745,Normal Weight,0.0
20.0,1.73,69.0,23.054562464499316,Normal Weight,0.0
20.0,1.72,,22.647376960519203,Normal Weight,0.0
20.0,1.7,66.0,,Normal Weight,0.0
,1.69,65.0,22.758306781975424,Normal Weight,0.0
20.0,,68.9,23.7012065599711,Normal Weight,0.0
,1.6969999999999998,66.8,23.19598278913637,Normal Weight,0.0
20.0,1.61,44.6,17.206126306855445,Underweight,5.0
20.0,1.57,41.1,16.67410442614305,Underweight,5.0
20.0,,39.4,16.190006574621957,Underweight,5.0
,1.54,34.9,14.715803676842638,Underweight,5.0
20.0,1.51,31.7,13.902898995658084,Underweight,5.0
20.0,1.49,,13.242646727624882,Underweight,5.0
20.0,1.47,27.6,,Underweight,5.0
20.0,,25.9,,Underweight,5.0
20.0,1.68,72.9,25.829081632653068,Overweight,4.0
19.0,1.751,70.0,22.83104278178644,Normal Weight,0.0
19.0,1.741,68.0,,Normal Weight,0.0
19.0,1.761,,23.21741073631116,Normal Weight,0.0
19.0,1.74,68.0,,Normal Weight,
,1.762,72.0,23.19106474043401,Normal Weight,0.0
19.0,1.763,,22.55379292438732,Normal Weight,0.0
19.0,1.739,,23.11382381855752,Normal Weight,0.0
19.0,1.68,98.0,34.72222222222223,Obese Class 1,1.0
19.0,1.69,98.0,34.31252407128602,Obese Class 1,1.0
19.0,1.75,120.0,,Obese Class 2,
19.0,,160.0,49.38271604938272,Obese Class 3,3.0
,1.64,48.0,17.846519928613922,Underweight,5.0
19.0,1.71,66.0,22.571047501795427,Normal Weight,0.0
19.0,1.72,67.0,22.647376960519203,Normal Weight,0.0
19.0,1.7,65.0,,Normal Weight,0.0
,1.69,64.0,22.40817898532965,Normal Weight,
19.0,,,22.321428571428577,Normal Weight,0.0
19.0,1.673,65.4,23.36608038288931,Normal Weight,0.0
19.0,1.661,64.2,23.26996677324215,Normal Weight,
19.0,1.58,41.5,16.623938471398812,Underweight,5.0
19.0,1.6,,16.523437499999996,Underweight,5.0
19.0,1.59,,,Underweight,5.0
19.0,1.58,37.0,14.821342733536287,Underweight,5.0
,,33.6,14.353453799820583,Underweight,
19.0,,30.8,13.68888888888889,Underweight,
19.0,1.48,28.7,13.10262965668371,Underweight,5.0
19.0,1.47,26.9,12.448516821694664,Underweight,5.0
19.0,1.69,,,Overweight,4.0
18.0,1.75,69.2,22.59591836734694,Normal Weight,0.0
18.0,,,22.22882811467829,Normal Weight,0.0
18.0,,71.1,22.953254132231404,Normal Weight,0.0
18.0,1.739,67.3,22.254400534899226,Normal Weight,0.0
,1.761,71.1,22.92719310210727,Normal Weight,0.0
,1.762,,22.32172191078913,Normal Weight,0.0
18.0,1.738,,,Normal Weight,
18.0,,69.32,27.419801431905377,Overweight,4.0
18.0,1.7,100.0,34.602076124567475,Obese Class 1,1.0
,1.67,100.0,,Obese Class 2,2.0
18.0,1.72,115.0,,Obese Class 2,2.0
18.0,1.78,150.0,47.34250725918445,Obese Class 3,3.0
18.0,1.62,46.0,17.527815881725342,Underweight,5.0
18.0,,64.0,22.145328719723185,Normal Weight,
